size,composition,trial,latency
4096,gamma,4,59.010000
8192,gamma,4,64.030000
16384,gamma,4,74.020000
32768,gamma,4,99.260000
65536,gamma,4,135.370000
131072,gamma,4,208.220000
262144,gamma,4,358.950000
524288,gamma,4,598.960000
1048576,gamma,4,955.360000
4,gamma,5,53.400000
8,gamma,5,50.560000
16,gamma,5,52.990000
32,gamma,5,51.040000
64,gamma,5,51.330000
128,gamma,5,50.220000
256,gamma,5,49.640000
512,gamma,5,53.660000
1024,gamma,5,52.000000
2048,gamma,5,53.480000
4096,gamma,5,54.660000
8192,gamma,5,60.060000
16384,gamma,5,71.620000
32768,gamma,5,99.690000
65536,gamma,5,141.520000
131072,gamma,5,197.780000
262144,gamma,5,339.370000
524288,gamma,5,560.300000
1048576,gamma,5,1009.400000
4,gamma,6,43.790000
8,gamma,6,46.980000
16,gamma,6,51.830000
32,gamma,6,51.780000
64,gamma,6,49.440000
128,gamma,6,48.170000
256,gamma,6,49.290000
512,gamma,6,49.650000
1024,gamma,6,51.500000
2048,gamma,6,51.810000
4096,gamma,6,57.900000
8192,gamma,6,59.140000
16384,gamma,6,68.670000
32768,gamma,6,94.190000
65536,gamma,6,133.550000
131072,gamma,6,217.010000
262144,gamma,6,375.200000
524288,gamma,6,596.530000
1048576,gamma,6,993.000000
4,gamma,7,46.950000
8,gamma,7,52.620000
16,gamma,7,50.450000
32,gamma,7,51.090000
64,gamma,7,49.910000
128,gamma,7,48.680000
256,gamma,7,50.280000
512,gamma,7,49.710000
1024,gamma,7,52.250000
2048,gamma,7,51.940000
4096,gamma,7,57.220000
8192,gamma,7,59.490000
16384,gamma,7,71.370000
32768,gamma,7,91.890000
65536,gamma,7,139.530000
131072,gamma,7,224.370000
262144,gamma,7,386.840000
524288,gamma,7,624.190000
1048576,gamma,7,1048.490000
4,gamma,8,46.850000
8,gamma,8,46.380000
16,gamma,8,47.290000
32,gamma,8,47.890000
64,gamma,8,50.060000
128,gamma,8,51.320000
256,gamma,8,52.530000
512,gamma,8,52.190000
1024,gamma,8,53.240000
2048,gamma,8,54.010000
4096,gamma,8,54.890000
8192,gamma,8,60.270000
16384,gamma,8,69.000000
32768,gamma,8,95.120000
65536,gamma,8,136.810000
131072,gamma,8,213.040000
262144,gamma,8,381.200000
524288,gamma,8,613.400000
1048576,gamma,8,1034.520000
4,gamma,9,47.770000
8,gamma,9,42.150000
16,gamma,9,41.610000
32,gamma,9,41.410000
64,gamma,9,41.720000
128,gamma,9,42.250000
256,gamma,9,47.960000
512,gamma,9,51.930000
1024,gamma,9,51.980000
2048,gamma,9,52.630000
4096,gamma,9,54.500000
8192,gamma,9,61.410000
16384,gamma,9,69.630000
32768,gamma,9,103.450000
65536,gamma,9,148.370000
131072,gamma,9,229.190000
262144,gamma,9,407.170000
524288,gamma,9,708.600000
1048576,gamma,9,1111.690000
4,gamma,10,49.000000
8,gamma,10,46.350000
16,gamma,10,52.240000
32,gamma,10,51.160000
64,gamma,10,51.480000
128,gamma,10,44.570000
256,gamma,10,47.950000
512,gamma,10,51.900000
1024,gamma,10,53.630000
2048,gamma,10,52.920000
4096,gamma,10,57.260000
8192,gamma,10,62.310000
16384,gamma,10,71.900000
32768,gamma,10,98.210000
65536,gamma,10,137.980000
131072,gamma,10,201.450000
262144,gamma,10,346.410000
524288,gamma,10,621.460000
1048576,gamma,10,1087.330000
4,delta,1,51.850000
8,delta,1,53.810000
16,delta,1,51.910000
32,delta,1,50.930000
64,delta,1,51.620000
128,delta,1,51.130000
256,delta,1,50.600000
512,delta,1,51.610000
1024,delta,1,50.990000
2048,delta,1,53.750000
4096,delta,1,56.280000
8192,delta,1,60.640000
16384,delta,1,73.420000
32768,delta,1,103.390000
65536,delta,1,145.700000
131072,delta,1,224.240000
262144,delta,1,704.640000
524288,delta,1,837.150000
1048576,delta,1,831.990000
4,delta,2,50.770000
8,delta,2,52.700000
16,delta,2,52.930000
32,delta,2,51.230000
64,delta,2,51.210000
128,delta,2,49.260000
256,delta,2,52.770000
512,delta,2,52.630000
1024,delta,2,51.120000
2048,delta,2,53.380000
4096,delta,2,55.520000
8192,delta,2,60.430000
16384,delta,2,72.560000
32768,delta,2,94.620000
65536,delta,2,154.890000
131072,delta,2,216.340000
262144,delta,2,377.470000
524288,delta,2,626.840000
1048576,delta,2,1029.450000
4,delta,3,47.530000
8,delta,3,53.390000
16,delta,3,51.320000
32,delta,3,53.140000
64,delta,3,52.100000
128,delta,3,46.360000
256,delta,3,47.460000
512,delta,3,49.490000
1024,delta,3,49.780000
2048,delta,3,49.850000
4096,delta,3,53.900000
8192,delta,3,57.950000
16384,delta,3,67.630000
32768,delta,3,97.250000
65536,delta,3,133.530000
131072,delta,3,217.560000
262144,delta,3,373.440000
524288,delta,3,602.890000
1048576,delta,3,990.420000
4,delta,4,52.110000
8,delta,4,46.520000
16,delta,4,43.880000
32,delta,4,43.830000
64,delta,4,44.270000
128,delta,4,56.100000
256,delta,4,55.630000
512,delta,4,57.620000
1024,delta,4,58.370000
2048,delta,4,57.880000
4096,delta,4,61.840000
8192,delta,4,65.150000
16384,delta,4,75.500000
32768,delta,4,99.320000
65536,delta,4,139.150000
131072,delta,4,215.180000
262144,delta,4,372.090000
524288,delta,4,611.580000
1048576,delta,4,1075.200000
4,delta,5,49.390000
8,delta,5,46.960000
16,delta,5,48.340000
32,delta,5,51.360000
64,delta,5,48.320000
128,delta,5,50.230000
256,delta,5,50.420000
512,delta,5,50.090000
1024,delta,5,52.590000
2048,delta,5,49.870000
4096,delta,5,56.760000
8192,delta,5,59.260000
16384,delta,5,70.580000
32768,delta,5,153.270000
65536,delta,5,243.430000
131072,delta,5,424.690000
262144,delta,5,752.290000
524288,delta,5,878.230000
1048576,delta,5,1017.810000
4,delta,6,47.840000
8,delta,6,49.880000
16,delta,6,46.960000
32,delta,6,53.560000
64,delta,6,43.180000
128,delta,6,51.810000
256,delta,6,52.640000
512,delta,6,51.300000
1024,delta,6,53.320000
2048,delta,6,52.840000
4096,delta,6,56.200000
8192,delta,6,62.740000
16384,delta,6,71.860000
32768,delta,6,96.730000
65536,delta,6,137.900000
131072,delta,6,215.610000
262144,delta,6,382.040000
524288,delta,6,622.130000
1048576,delta,6,1036.050000
4,delta,7,52.820000
8,delta,7,52.430000
16,delta,7,48.110000
32,delta,7,50.400000
64,delta,7,50.370000
128,delta,7,50.070000
256,delta,7,52.530000
512,delta,7,51.370000
1024,delta,7,51.910000
2048,delta,7,52.840000
4096,delta,7,54.990000
8192,delta,7,67.620000
16384,delta,7,72.360000
32768,delta,7,100.350000
65536,delta,7,144.580000
131072,delta,7,235.400000
262144,delta,7,389.510000
524288,delta,7,626.110000
1048576,delta,7,978.250000
4,delta,8,56.820000
8,delta,8,51.470000
16,delta,8,51.150000
32,delta,8,49.090000
64,delta,8,48.620000
128,delta,8,50.410000
256,delta,8,52.300000
512,delta,8,52.960000
1024,delta,8,52.160000
2048,delta,8,54.600000
4096,delta,8,55.650000
8192,delta,8,60.250000
16384,delta,8,72.020000
32768,delta,8,94.210000
65536,delta,8,142.050000
131072,delta,8,251.680000
262144,delta,8,521.090000
524288,delta,8,701.680000
1048576,delta,8,928.760000
4,delta,9,49.960000
8,delta,9,43.070000
16,delta,9,52.400000
32,delta,9,46.120000
64,delta,9,49.480000
128,delta,9,52.450000
256,delta,9,51.040000
512,delta,9,51.630000
1024,delta,9,52.570000
2048,delta,9,52.900000
4096,delta,9,55.560000
8192,delta,9,59.890000
16384,delta,9,69.990000
32768,delta,9,90.990000
65536,delta,9,131.930000
131072,delta,9,211.320000
262144,delta,9,363.450000
524288,delta,9,561.790000
1048576,delta,9,1015.340000
4,delta,10,49.200000
8,delta,10,49.590000
16,delta,10,51.240000
32,delta,10,50.740000
64,delta,10,49.600000
128,delta,10,48.420000
256,delta,10,53.260000
512,delta,10,49.150000
1024,delta,10,52.770000
2048,delta,10,52.260000
4096,delta,10,55.210000
8192,delta,10,58.970000
16384,delta,10,69.150000
32768,delta,10,92.630000
65536,delta,10,136.870000
131072,delta,10,214.410000
262144,delta,10,373.660000
524288,delta,10,595.050000
1048576,delta,10,1044.890000
