size,backend,trial,latency
524288,mpichccl,10,74.4100
1048576,mpichccl,10,86.0500
4,rccl,1,37.9200
8,rccl,1,41.7600
16,rccl,1,46.7800
32,rccl,1,42.2500
64,rccl,1,38.8600
128,rccl,1,38.7600
256,rccl,1,38.9500
512,rccl,1,38.6600
1024,rccl,1,39.1300
2048,rccl,1,39.2900
4096,rccl,1,41.1300
8192,rccl,1,45.4500
16384,rccl,1,44.4600
32768,rccl,1,45.4500
65536,rccl,1,63.1700
131072,rccl,1,60.5200
262144,rccl,1,63.9100
524288,rccl,1,74.3900
1048576,rccl,1,86.2800
4,rccl,2,39.3000
8,rccl,2,41.7800
16,rccl,2,43.1400
32,rccl,2,41.2900
64,rccl,2,38.1500
128,rccl,2,38.6100
256,rccl,2,39.1400
512,rccl,2,39.5700
1024,rccl,2,39.7900
2048,rccl,2,40.6000
4096,rccl,2,42.6600
8192,rccl,2,45.8700
16384,rccl,2,45.2800
32768,rccl,2,45.1800
65536,rccl,2,62.6300
131072,rccl,2,61.2400
262144,rccl,2,64.3700
524288,rccl,2,74.5500
1048576,rccl,2,86.1000
4,rccl,3,35.5900
8,rccl,3,35.7000
16,rccl,3,46.0200
32,rccl,3,42.0600
64,rccl,3,36.4900
128,rccl,3,36.9300
256,rccl,3,37.3200
512,rccl,3,37.8100
1024,rccl,3,38.5900
2048,rccl,3,39.3400
4096,rccl,3,41.7500
8192,rccl,3,45.9800
16384,rccl,3,45.1000
32768,rccl,3,44.9300
65536,rccl,3,62.7600
131072,rccl,3,60.9100
262144,rccl,3,64.5900
524288,rccl,3,74.6800
1048576,rccl,3,86.3900
4,rccl,4,34.4200
8,rccl,4,34.1700
16,rccl,4,44.3000
32,rccl,4,37.6500
64,rccl,4,36.0100
128,rccl,4,34.4500
256,rccl,4,34.9400
512,rccl,4,35.0700
1024,rccl,4,35.9300
2048,rccl,4,36.6100
4096,rccl,4,37.8000
8192,rccl,4,41.7900
16384,rccl,4,41.2900
32768,rccl,4,40.9600
65536,rccl,4,60.7000
131072,rccl,4,57.5800
262144,rccl,4,62.1200
524288,rccl,4,73.0100
1048576,rccl,4,84.2700
4,rccl,5,37.2000
8,rccl,5,39.7600
16,rccl,5,45.2300
32,rccl,5,44.0100
64,rccl,5,38.5000
128,rccl,5,39.3500
256,rccl,5,38.9100
512,rccl,5,39.4200
1024,rccl,5,39.7200
2048,rccl,5,40.7200
4096,rccl,5,42.8400
8192,rccl,5,46.5900
16384,rccl,5,46.1600
32768,rccl,5,45.9100
65536,rccl,5,62.7700
131072,rccl,5,60.3800
