size,backend,trial,latency
1024,rccl,7,41.5200
2048,rccl,7,44.4200
4096,rccl,7,47.4200
8192,rccl,7,62.9300
16384,rccl,7,76.1600
32768,rccl,7,83.3800
65536,rccl,7,102.2200
131072,rccl,7,124.8800
262144,rccl,7,166.2300
524288,rccl,7,246.6700
1048576,rccl,7,385.9400
4,rccl,8,0.0000
8,rccl,8,45.1400
16,rccl,8,40.0300
32,rccl,8,49.1500
64,rccl,8,44.1000
128,rccl,8,39.4000
256,rccl,8,39.9600
512,rccl,8,40.0100
1024,rccl,8,40.6600
2048,rccl,8,43.5000
4096,rccl,8,0.0000
8192,rccl,8,61.9100
16384,rccl,8,74.4400
32768,rccl,8,82.1500
65536,rccl,8,0.0000
131072,rccl,8,123.2800
262144,rccl,8,164.6500
524288,rccl,8,245.7200
1048576,rccl,8,383.7300
4,rccl,9,53.5300
8,rccl,9,48.9400
16,rccl,9,43.4000
32,rccl,9,45.7400
64,rccl,9,39.8600
128,rccl,9,40.1800
256,rccl,9,39.5900
512,rccl,9,39.3000
1024,rccl,9,0.0000
2048,rccl,9,42.4100
4096,rccl,9,45.4300
8192,rccl,9,60.6800
16384,rccl,9,73.5600
32768,rccl,9,81.5500
65536,rccl,9,0.0000
131072,rccl,9,122.9200
262144,rccl,9,164.5000
524288,rccl,9,246.6300
1048576,rccl,9,383.3000
4,rccl,10,55.4900
8,rccl,10,44.7800
16,rccl,10,40.1500
32,rccl,10,45.1500
64,rccl,10,40.2100
128,rccl,10,40.0000
256,rccl,10,40.4500
512,rccl,10,40.5500
1024,rccl,10,41.1300
2048,rccl,10,43.9900
4096,rccl,10,46.7200
8192,rccl,10,62.9900
16384,rccl,10,75.9200
32768,rccl,10,83.5200
65536,rccl,10,102.2000
131072,rccl,10,125.6000
262144,rccl,10,168.3900
524288,rccl,10,250.9600
1048576,rccl,10,393.5400
4,auto_dcall,1,97.3600
8,auto_dcall,1,79.9400
16,auto_dcall,1,76.6500
32,auto_dcall,1,73.2800
64,auto_dcall,1,86.8300
128,auto_dcall,1,85.4600
256,auto_dcall,1,79.3400
512,auto_dcall,1,75.7900
1024,auto_dcall,1,74.5000
2048,auto_dcall,1,75.5000
